Timestamp,Sticker name,Sticker code,Hint for competitor,Point Value ,Hint for stickers people,Building,Floor level,Upload photo of it if hard to find
10/30/2022 12:54:32,flare,3566,"A room you never access, yet can see into",1,Projector room glass panel in Sage 3303,Sage,3,
10/30/2022 12:55:17,psi,6239,SAGE: sage has a nice entrance lobby,3,It's on the top of the entrances second door window get a stool,Sage,3,https://drive.google.com/open?id=17FYzbysWV4dkdEG6qwgZIHi2S9KUEVpI
10/30/2022 12:57:50,Voyage,0464,Hidden passageways,1,Under rug,Sage,3,https://drive.google.com/open?id=1mTpd4EFbMBz4-fufoW0j4-2fIecMZSdn
10/30/2022 12:58:55,day,6933,At the ingress and egress of the buildings,1,In Sage entrance area on 3rd floor,Sage,3,
10/30/2022 13:04:18,marty,3122,A place of fabrication,1,Windows into Sage forge area with 3d printers,Sage,2,
10/30/2022 13:05:18,Icarus,6797,Electrifying ,3,Old electric panel,Sage,2,https://drive.google.com/open?id=1uCXID1l3cH0xJhAuVbApl5xASX4UJfgy
10/30/2022 13:07:39,Kepler,2190,You can see the chemistry building from this room,1,2112 on box,Sage,2,https://drive.google.com/open?id=1jQ6RHfxIH1Oj3Rv_EieMyFoh0b545qn-
10/30/2022 13:08:10,appollo3,9022,Old computer room of sage,1,3116 near the desk of the instructor in that corner,Sage,2,
10/30/2022 13:09:37,falcon,9996,I see technology become junk in an indtant,1,Near tech dump entrance and stairs on Sage 2nd floor,Sage,2,
10/30/2022 13:10:36,PLAY,5H0W,Where is the mailbox in sage,3,Attached to the green mailbox on the second floor right in front of the elevator,Sage,2,
10/30/2022 13:10:58,Cosmic,6078,Robots will rule the world,1,On the wooden robot hand thingy,Sage,2,https://drive.google.com/open?id=1Ztg4LONxKDm2pyPtwDVLF4QHVXNB14lf
10/30/2022 13:11:24,make,4130,"Near a sign that states: ""Authorized Personnel Only""",1,3 feet Past/near closet 2300B,Sage,2,
10/30/2022 13:14:01,ART,3421,How long is the corridor of creativity?,3,In the corridor of art in one of the cutouts for an electrical box ,Sage,2,
10/30/2022 13:14:25,Simorgh,9376,Yer a wizard harry,3,Room under stairs by sage 2nd floor,Sage,2,https://drive.google.com/open?id=10ka2Cs3a4T_05P_YraM0ufl2AxgXG0Tk
10/30/2022 13:15:44,ART,5RAD,Also in the corridor of creativity look hard!,3,On the hand sanitizer on its back in the hall of creaticity,Sage,2,
10/30/2022 13:19:25,debris,3525,Located in The Blitman Room,1,Sage 2704 next to Blitman room sign,Sage,2,
10/30/2022 13:19:33,rpi,4535,Look at all the art project posters,3,It's near the copy room in the second floor at the bottom left of the posters for the art projects,Sage,2,
10/30/2022 13:21:46,art,R3D,"Behind a screen of many animations, made by the students",1,Behind tv on Sage 2nd floor near 2510,Sage,2,
10/30/2022 13:23:46,ART,5R3Y,Lots of sculptures on this table,3,On the table with the busts right in front of the sculpture lab,Sage,1,
10/30/2022 13:27:14,vega,1024,Sculpture room where I sit ,3,Under the bar in the first table on the right coming into the art sculpture room ,Sage,1,https://drive.google.com/open?id=1rTN82PfR12eyRcbzBLDwuAEVEoIlq6pY
10/30/2022 13:27:30,helios,7579,On the bottom of the floor of a staircase,1,Under west staircase on 1st floor in Sage,Sage,1,
10/30/2022 13:28:58,life,2288,A very unmoving flag,1,Behind to the eight of the metal flag on the wall,Sage,1,
10/30/2022 13:29:30,romeo,4568,Where's the handicap lift?,1,In lift to walker room by Sage 1112,Sage,1,
10/30/2022 13:30:12,CHEME1,SP33D4,Entrance by the boiler ,3,It's on the hand sanitizer on the exit on the first floor towards the boiler ,Sage,1,
10/30/2022 13:32:15,appollo13,1858,Doors to art,1,On the door to the sculpture room ,Sage,1,
10/30/2022 13:35:25,proton,5766,This is a terrible way to sit.,3,Curled cardboard statue on 1st floor of Sage of sitting uncomfortably ,Sage,1,
10/30/2022 13:36:14,apollo7,9969,How much would a wood chuck chuck if a wood chuck could chuck wood,1,On the chaulkboard near thee woodshop on sage ,Sage,1,
10/30/2022 13:37:41,Magnet,8942,Lift to walker,1," Through lift to walker, on pillar",Sage,1,https://drive.google.com/open?id=1xIaE0QREUqdS8rt7ehfpSPiR3CHzqUwM
10/30/2022 13:37:48,DEAD,NOW,"""Safety First. Eye Protection Rewuired in this Area""",3,On door of Sage 1301,Sage,1,
10/30/2022 13:38:29,transit,1951,Points ever upward,1,On the floor near the big hand  sculpture in the base level near the art ,Sage,1,
10/30/2022 13:46:36,pioneer,3162,Where can I get a coffee,1,It's by the door to the beanery in sage ,Sage,3,
10/30/2022 13:48:11,zenith,5463,This conference room has a lot of white boards,1,Under the red sill for the marker holder all the way in the corner left of the door  of the white boards in the conference room,Sage,2,
10/30/2022 13:49:37,echo,3908,In which room can you find charts displaying energy usage of climates and states?,1,In Sage 4112 under pin board of energy graphs,Sage,4,
10/30/2022 13:52:07,DRONE,C1OUD,"In the halls, next to an office, is this sticker. You must find the right lecturer",3,Right next to Sage 4202 office door,Sage,4,
10/30/2022 13:54:01,tau,6631,Under a pile of several books and a binder lies this sticker.,3,Sage 4203 under books on table next to window,Sage,4,
10/30/2022 13:55:21,fuel,2623,"Where a library that says ""free"" is",1,On bookshelf next to Sage 4206,Sage,4,
10/30/2022 13:57:13,SWARM,2540,This room has 3 ac and two entrances,3,Irs on the back entranc elf room 4510,Sage,4,
10/30/2022 13:57:27,node,0613,"Where you can find Bubbles, Bubbling, and Bubbly, as art on display",1,4th floor elevator display case,Sage,4,
10/30/2022 13:58:55,bessel,7093,Where there are two hand sanitizers dispenser right next to each other,1,On the dispenser near room 4510 Maine entrance,Sage,4,
10/30/2022 13:59:32,RRS,H43V3N,"Behind an open door, near a Hub",3,Behind door on right of Sage 4402,Sage,4,
10/30/2022 14:00:36,tango,7820,One of the coolest amartelardes in sage for students,1,It's on the second tv snartboard in room 4510behind it on the wiring harness area ,Sage,4,
10/30/2022 14:01:17,planet,0885,On a window into a Hub is where this sticker is,1,"Opposite doors of Sage 4304, on windowsill of HASS hub",Sage,4,
10/30/2022 14:03:24,retro,1479,"Where can I learn about CMD? (Communication, media, and design)",1,"Next to CMD posters, near Sage 4404",Sage,4,
10/30/2022 14:05:44,DDRPI,DANC3,"Find a Cabinet full of nothing, and the sticker it will have",3,Empty glass/metal cabinet near Sage 4405,Sage,4,
10/30/2022 14:08:25,GOOD,VIB35,Where you would sanitize your hands.,3,"Hand sanitizer dispenser, on back, next to Sage 4404",Sage,4,
10/30/2022 14:10:32,nasa,1806,Where is the office of A. Hofmann? The sticker is nearby,1,On stairway Bannister opposite Sage 4402,Sage,4,
10/30/2022 14:13:47,delta,2912,https://xkcd.com/435/,3,Under receptacle box on Sage 4206 door,Sage,4,
10/30/2022 14:15:40,phase,6891,"Don't forget to look up, else you'll miss the arches in the hall",1,On bottom of arch between Sage 4203 and 4207,Sage,4,
10/30/2022 14:17:16,ART,P3TAL,"Take a drink here, and be refreshed",3,On ceiling of water fountain on Sage 4th floor,Sage,4,
10/30/2022 14:20:16,equator,5760,"I'm in a room with 1 projector, 2 whiteboards (one of which I'm on), and 2 intractable tvs. Where would I be?",1,Sage 4510 on the side of whiteboard that is closer to the windows,Sage,4,
10/30/2022 14:22:13,apollo6,4883,I see many recent publications of PhD's in Rhetoric,1,Board of PhD publications in between Sage 4510 and 4702,Sage,4,
10/30/2022 14:24:48,FORGE,P4INT,This sticker is behind a big stick,3,Behind big stick in grad student area- Sage 4702,Sage,4,
10/30/2022 14:28:38,uranus,8160,This sticker is next to an emergency exit... 5 floors up,1,Next to emergency exit in Sage 5101,Sage,5,
10/30/2022 14:31:17,earth,0860,Find me with foliage made of plastic and rubber,1,Sage 5th floor center lounge- on plant pot opposite 5300B,Sage,5,
10/30/2022 14:33:40,EHC,CIRC,"Under a cut a cast metal stand, holding an old creation",3,Under metal table with black metal vase statue in Sage 5th floor lounge,Sage,5,
10/30/2022 14:36:40,QUID,5HOT,"In case of fire, use what is next to me. An ABC extinguisher",3,Sage 5th floor lounge behind fire extinguisher,Sage,5,
10/30/2022 14:38:22,cassini,8341,This sticker is by the HASS Dean,1,On left pillar next to hass dean office in 5th floor Sage lounge,Sage,5,
10/30/2022 14:41:21,sophia,5472,"By a lonely chair, and two offices, through a door you'll find me.",3,Behind door that leads to cubby of Sage 5406,Sage,5,
10/30/2022 14:42:44,pickering,7272,"Where is a class case of books, only to be observed, but never touched?",1,On bookcase next to Sage 5408,Sage,5,
10/30/2022 14:45:49,cisman,4667,Where is a conference room with a fire alarm to the right?,3,"Opposite Sage 5402, on pillar next to staircase",Sage,5,
10/30/2022 14:49:14,apollo2,4777,A pillar that divides one hall into two for but a moment is what I rest on.,1,On pillar near Sage 5th floor bathroom,Sage,5,
10/30/2022 14:51:09,gamma,5032,My office shares a last name with a famous singer. My first name is Ella,3,On doorway of Sage 5410 office,Sage,5,
10/30/2022 14:53:03,neptune,6510,This sticker is located where the brick turns light blue,1,"In 5th floor hallway next to Sage 5510, where big windows are",Sage,5,
10/30/2022 14:55:18,delta,2912,"This sticker is by a sculpture made of rebar and metal fence, twisted to form a flag and smokestack",3,"In Sage 5508, next to metal sculpture in room",Sage,5,
10/30/2022 14:57:12,mars,9590,"I am in a classroom, on a table that one has tried to punch holes through",1,"In Sage 5510, on table in front of class",Sage,5,
10/30/2022 14:58:37,Period,8248,"We may not have Guy Fieri, but we do have Guy _______. Find his office",1,Next to Sage 5518 door,Sage,5,
10/30/2022 15:00:19,matt,5279,"I am where bats decided to roost over the summer of 2021, infesting the building.",3,"On doorframe of Sage 5711, top right",Sage,5,
10/30/2022 15:02:08,halley,6573,Where do the Grad students receive their mail?,1,"In room Sage 5702A, on right side of mail cabinet for grad students",Sage,5,
10/30/2022 15:04:24,thomas,7227,I'm on a chalkboard that's not in a classroom. Where am I?,3,On chalkboard in Sage 5702 exhibition hallway.,Sage,5,